id,label,id_prop_instance_of
id_creator_10043,"Schreurs, M.",id_base_author;id_base_editor
id_creator_1,"Haase, D.",id_base_author
id_creator_2,"Szporak-Wasilewska, S.",id_base_author
id_creator_3,"Schlaepfer, A.",id_base_author
id_creator_4,"Calderón-Contreras, R.",id_base_author
id_creator_5,"Rethemeyer, J.",id_base_author
id_creator_6,"Hobson, P.D.",id_base_author
id_creator_7,"Perlikowski, P.",id_base_author
id_creator_10046,"Mitchell, R.B.",id_base_author;id_base_editor
id_creator_10048,"Biermann, F.",id_base_author;id_base_editor
id_creator_10,"Abaach, H.",id_base_author
id_creator_11,"Kneis, D.",id_base_author
id_creator_12,"Niehoff, D.",id_base_author
id_creator_13,"Kurgat, B.K.",id_base_author
id_creator_14,"Esch, M.",id_base_author
id_creator_15,"Basler, D.",id_base_author
id_creator_16,"Alram-Stern, E.",id_base_author
id_creator_17,"Scoccimarro, E.",id_base_author
id_creator_18,"Comin, C.H.",id_base_author
id_creator_19,"Pomaz, V.L.",id_base_author
id_creator_20,"Martellozzo, F.",id_base_author
id_creator_21,"Uhlmann, M.",id_base_author
id_creator_22,"V., P.",id_base_author
id_creator_23,"Dubrovsky, A.",id_base_author
id_creator_24,"Gekalyuk, A.",id_base_author
id_creator_25,"Hammel, K.",id_base_author
id_creator_26,"Horn, R.",id_base_author
id_creator_27,"Schleser, G.",id_base_author
id_creator_28,"Kolstad, C.",id_base_author
id_creator_29,"Rees, R.M.",id_base_author
id_creator_30,"Álvarez-Solas, J.",id_base_author
id_creator_10067,"Hall, D.O.",id_base_author;id_base_editor
id_creator_32,"Marengo, J.",id_base_author
id_creator_33,"Döhren, P.v.",id_base_author
id_creator_34,"Schubert, M.",id_base_author
id_creator_35,"Kröwer, S.",id_base_author
id_creator_36,"Landy, M.",id_base_author
id_creator_37,"Wang, W.",id_base_author
id_creator_38,"Ötsch, R.",id_base_author
id_creator_39,"Meredieu, C.",id_base_author
id_creator_40,"Garg, K.K.",id_base_author
id_creator_41,"Salmon, Y.",id_base_author
id_creator_42,"Huppmann, D.",id_base_author
id_creator_43,"Oldeland, J.",id_base_author
id_creator_44,"Nyong, T.",id_base_author
id_creator_45,"Weiß, T.",id_base_author
id_creator_46,"Matthäus, E.",id_base_author
id_creator_47,"Butchard, S.",id_base_author
id_creator_48,"Ruget, F.",id_base_author
id_creator_49,"Bakker, M.H.N.",id_base_author
id_creator_50,"Bell, P.R.",id_base_author
id_creator_51,"Zavalishin, N.",id_base_author
id_creator_52,"König, M.",id_base_author
id_creator_53,"Rondinini, C.",id_base_author
id_creator_54,"Hall, F.G.",id_base_author
id_creator_10089,"Blyth, E.",id_base_author;id_base_editor
id_creator_56,"Cannell, M.G.R.",id_base_author
id_creator_57,"Hörmann, G.",id_base_author
id_creator_58,"Hoek, S.B.",id_base_author
id_creator_59,"Zhao, Y.",id_base_author
id_creator_60,"van het Bolscher, M.",id_base_author
id_creator_61,"Bothe, O.",id_base_author
id_creator_62,"Rodwell, M.J.",id_base_author
id_creator_63,"Nunes, P.A.L.D.",id_base_author
id_creator_64,"Amann, T.",id_base_author
id_creator_65,"Albers, H.",id_base_author
id_creator_66,"Shangguan, Z.",id_base_author
id_creator_67,"Sawin, J.",id_base_author
id_creator_68,"Ghent, D.",id_base_author
id_creator_69,"Carmona-Moreno, C.",id_base_author
id_creator_10102,"Stoft, S.",id_base_author;id_base_editor
id_creator_71,"Hof, C.",id_base_author
id_creator_72,"Adamsen, F.J.K.",id_base_author
id_creator_73,"Kwast, J.v.d.",id_base_author
id_creator_74,"Junginger, A.",id_base_author
id_creator_75,"Whitse, J.W.",id_base_author
id_creator_76,"Schlyter, P.",id_base_author
id_creator_10105,"Klein, R.",id_base_author;id_base_editor
id_creator_78,"Vallet, P.",id_base_author
id_creator_79,"Terenzi, A.",id_base_author
id_creator_80,"Pelling, M.",id_base_author
id_creator_81,"Vil’fand, R.M.",id_base_author
id_creator_82,"Mapako, M.",id_base_author
id_creator_83,"Schmidt, H.P.",id_base_author
id_creator_84,"Strauss, J.",id_base_author
id_creator_10116,et al,id_base_author;id_base_editor
id_creator_86,"Halldin, S.",id_base_author
id_creator_87,"Scholz, I.",id_base_author
id_creator_88,"Garcia Alaniz, N.",id_base_author
id_creator_89,"Foerster, S.",id_base_author
id_creator_90,"Kainuma, M.",id_base_author
id_creator_10118,"Mirschel, W.",id_base_author;id_base_editor
id_creator_92,"Smec, L.",id_base_author
id_creator_93,"Diedhiou, A.",id_base_author
id_creator_94,"Andrews, T.",id_base_author
id_creator_95,"Estreguil, C.",id_base_author
id_creator_96,"Greisberger, H.",id_base_author
id_creator_10123,"Asariotis, R.",id_base_author;id_base_editor
id_creator_98,"Horn, A.",id_base_author
id_creator_99,"Rogger, M.",id_base_author
id_creator_100,"Hyman, A.H.",id_base_author
id_creator_101,"Gartner, K.",id_base_author
id_creator_102,"Castillo, A.",id_base_author
id_creator_103,"Lang, X.",id_base_author
id_creator_104,"Forner, C.",id_base_author
id_creator_105,"Berthold, D.",id_base_author
id_creator_106,"Schueler, V.",id_base_author
id_creator_107,"Mamdouh, T.",id_base_author
id_creator_108,"Feng, Q.",id_base_author
id_creator_109,"Haddeland, I.",id_base_author
id_creator_110,"Koetz, T.",id_base_author
id_creator_111,"Mul, M.L.",id_base_author
id_creator_112,"Salmi, O.",id_base_author
id_creator_113,"Silva Dias, M.A.",id_base_author
id_creator_114,"Partons, W.J.",id_base_author
id_creator_115,"Deuber, O.",id_base_author
id_creator_10135,"Klein, J.",id_base_author;id_base_editor
id_creator_117,"Sand, M.",id_base_author
id_creator_118,"Tarasov, L.",id_base_author
id_creator_119,"Montade, V.",id_base_author
id_creator_120,"Law, B.E.",id_base_author
id_creator_121,"Pan, S.",id_base_author
id_creator_122,"Halpin, P.N.",id_base_author
id_creator_123,"Mu, Q.",id_base_author
id_creator_124,"Stammer, D.",id_base_author
id_creator_125,"Anton, C.",id_base_author
id_creator_126,"Russo, E.",id_base_author
id_creator_127,"Trudinger, C.M.",id_base_author
id_creator_128,"Coll, M.",id_base_author
id_creator_129,"Quinn, T.",id_base_author
id_creator_130,"Christiansen, E.S.",id_base_author
id_creator_131,"Corbeels, M.",id_base_author
id_creator_132,"Jenkins, A.",id_base_author
id_creator_133,"Kovalevsky, D.",id_base_author
id_creator_134,"Montzka, S.A.",id_base_author
id_creator_135,"Medlyn, B.",id_base_author
id_creator_136,"Shutkin, W.",id_base_author
id_creator_137,"Hauschild, M.Z.",id_base_author
id_creator_138,"Xu, W.",id_base_author
id_creator_139,"Frör, O.",id_base_author
id_creator_140,"Avril, B.",id_base_author
id_creator_141,"Battle, M.",id_base_author
id_creator_142,"Peerlings, J.",id_base_author
id_creator_143,"N., M.",id_base_author
id_creator_144,"William, L.",id_base_author
id_creator_145,"Rossby, T.",id_base_author
id_creator_146,"Grieco, E.",id_base_author
id_creator_147,"Best, M.",id_base_author
id_creator_148,"Frumhoff, P.",id_base_author
id_creator_149,"Yu, Z.",id_base_author
id_creator_150,"Schlenther, C.",id_base_author
id_creator_10149,"Belykh, I.",id_base_author;id_base_editor
id_creator_152,"Blumenthal, I.",id_base_author
id_creator_153,"Tong, J.",id_base_author
id_creator_154,"Ludwig, P.",id_base_author
id_creator_155,"Nathwani, J.",id_base_author
id_creator_156,"Snizhko, S.",id_base_author
id_creator_157,"Viney, N.R.",id_base_author
id_creator_158,"Klein, A.M.",id_base_author
id_creator_159,"Prietzel, J.",id_base_author
id_creator_160,"Savonis, M.",id_base_author
id_creator_161,"Davies, E.",id_base_author
id_creator_162,"Rafaty, R.",id_base_author
id_creator_163,"Kleidon, A.",id_base_author
id_creator_164,"Liu, S.",id_base_author
id_creator_165,"Mougin, E.",id_base_author
id_creator_166,"Sievanen, R.",id_base_author
id_creator_167,"Kissock, J.K.",id_base_author
id_creator_168,"Koskova, R.",id_base_author
id_creator_169,"Oehme, R.",id_base_author
id_creator_170,"Beamish, R.",id_base_author
id_creator_171,"Ripoche-Wachter, D.",id_base_author
id_creator_172,"Wendland, F.",id_base_author
id_creator_173,"Hein, M.",id_base_author
id_creator_174,"Schoenberg, W.",id_base_author
id_creator_175,"Roesch, A.",id_base_author
id_creator_176,"Cadule, P.",id_base_author
