id,label,id_prop_instance_of,id_prop_publication_type,id_prop_author,id_prop_editor,id_prop_publisher,id_prop_place_of_publication,id_prop_series,id_prop_pages,id_prop_title,id_prop_issue,id_prop_volume,id_prop_publication_date,id_prop_reference_URL,id_prop_keyword,id_prop_journal,id_prop_conference
id_work_1,"Wer sind die Experten? User Needs Analysis (UNA), Post Occupancy Evaluation (POE) und Städtebau aus sozial- und umweltpsychologischer Perspektive.",id_base_work,id_type_article_in_book,id_creator_38864,id_creator_37049,id_publisher_0,id_place_0,id_series_0,75-85,,,,1993,,,,
id_work_2,Impact of climate change on forests: application of forest succession models across Central and Eastern Europe,id_base_work,id_type_conference_paper,id_creator_41298;id_creator_37520;id_creator_41326;id_creator_40341,id_creator_37050;id_creator_37051,id_publisher_1,id_place_1,,165-178,,,,1999,,,,
id_work_3,Quantifizierung des Einflusses verschiedener (baulicher und Renaturierungs-) Maßnahmen auf den Verlauf von Hochwasserereignissen am Beispiel ausgewählter Flußgebiete,id_base_work,id_type_lecture,id_creator_39160,,,,,,,,,1998,,,,
id_work_4,Ein Modell der Sukzessionsdynamik europäischer Wälder - Forest ecosystems in a changing environment (4C),id_base_work,id_type_conference_paper,id_creator_21146;id_creator_38088;id_creator_40341,id_creator_37052;id_creator_37053;id_creator_37054,id_publisher_2,id_place_2,,212-217,,,,1999,,,,
id_work_5,Comparison of data requirements and performance of two semi- distributed hydrological models of different complexity,id_base_work,id_type_conference_paper,id_creator_40723;id_creator_39160;id_creator_39103,,id_publisher_3,id_place_3,,161-164,,,,1999,,,,
id_work_6,Delta 13C of CO2 respired in the dark in relation to delta 13C of leaf carbohydrates in Phaseolus vulgaris L. under progressive drought,id_base_work,id_type_isi_article,id_creator_3753;id_creator_19623;id_creator_38088;id_creator_15,,,,,515-523,,5,22,1999,,id_keyword_0;id_keyword_1411;id_keyword_2;id_keyword_1411;id_keyword_4;id_keyword_1411;id_keyword_6;id_keyword_1411;id_keyword_8;id_keyword_1411;id_keyword_10,id_journal_0,
id_work_7,Land use change in Europe and implications for agriculture and water resources,id_base_work,id_type_article_in_book,id_creator_40723;id_creator_42031;id_creator_185;id_creator_19,id_creator_37055;id_creator_37792,id_publisher_4,id_place_4,id_series_1,361-384,Harmonization with the western economics: Estonian developments and related conceptual and methodological frameworks,,,1999,,,,
id_work_8,Großräumige hydrologische Parametrisierung und Modellierung als Teil der integrierten Modellierung,id_base_work,id_type_conference_paper,id_creator_39160;id_creator_9537;id_creator_9619;id_creator_39247;id_creator_3610,id_creator_38207;id_creator_37634,id_publisher_5,id_place_5,,31-40,,,,1999,,,,
id_work_9,The use of semi-qualitative reasoning and probability distributions in assessing possible behaviours of a socio- economic system,id_base_work,id_type_conference_paper,id_creator_5459;id_creator_26859;id_creator_39360,,id_publisher_6,id_place_6,,410-416,,,,1999,,id_keyword_11;id_keyword_1411;id_keyword_13;id_keyword_1411;id_keyword_15;id_keyword_1411;id_keyword_49,,
id_work_10,Effects of climate change influencing storm runoff generation: basic considerations and a pilot study in Germany,id_base_work,id_type_conference_paper,id_creator_39160;id_creator_30700;id_creator_2465;id_creator_2466,id_creator_37621;id_creator_37622;id_creator_39160,id_publisher_7,id_place_7,,,,,,1999,,,,
id_work_11,The Odra/Oder flood in summer 1997,id_base_work,id_type_other_article,id_creator_39160;id_creator_37148;id_creator_37131;id_creator_37149,,,id_place_8,,1-163,,,,1997,,,id_journal_1,
id_work_12,International relations and global climate change,id_base_work,id_type_pik_series,id_creator_40041,,id_publisher_8,id_place_8,id_series_2,,,,,1996,http://www.pik-potsdam.de/pik_web/publications/pik_reports/reports/reports/pr.21/pr21_1.htm,,,
id_work_13,Regional simulation of winter wheat yields for the state of Brandenburg under present and future climate,id_base_work,id_type_conference_paper,id_creator_7790;id_creator_2457;id_creator_42031;id_creator_25471,,,id_place_9,,,,,,1998,,,,
id_work_14,Socio-economic implications of land use change modelling on a regional scale,id_base_work,id_type_conference_paper,id_creator_38649;id_creator_39262,id_creator_37062;id_creator_37063,id_publisher_9,id_place_10,,73-82,,,,1999,,id_keyword_715;id_keyword_1411;id_keyword_632;id_keyword_1411;id_keyword_22,,id_conference_0
id_work_15,Möglicher Klimawandel und seine Auswirkungen auf den Wasserhaushalt - insbesondere auf die Grundwasserneubildung,id_base_work,id_type_conference_paper,id_creator_38649,,,,,1-26,,,,1997,,,,
id_work_16,Macro- and mesoscale hydrological modelling in the Elbe river basin,id_base_work,id_type_conference_paper,id_creator_38649;id_creator_39262,id_creator_37064;id_creator_37065;id_creator_37066,id_publisher_10,id_place_11,,57-61,,,,1998,,id_keyword_712,,
id_work_17,Meteorological input variables in meso and macroscale hydrological modelling,id_base_work,id_type_conference_paper,id_creator_38649;id_creator_39626;id_creator_9642,,id_publisher_11,id_place_3,,165-168,,,,1999,,,,
id_work_18,"Extremer Nordsommer '92. Meteorologische Ausprägung, Wirkungen auf naturnahe und vom Menschen beeinflußte Ökosysteme, gesellschaftliche Perzeption und situationsbezogene politisch- administrative bzw. individuelle Maßnahmen",id_base_work,id_type_other_article,id_creator_38295;id_creator_37068;id_creator_39716,id_creator_38295;id_creator_37068;id_creator_39716,,id_place_8,,,,1-4,,1994,,,id_journal_1,
id_work_19,Factors affecting nitrogen export from diffuse sources: a modelling study in the Elbe basin,id_base_work,id_type_article_in_book,id_creator_40723;id_creator_40655;id_creator_39626;id_creator_39262,id_creator_37070,id_publisher_12,id_place_12,id_series_3,201-212,,,,1999,,,,
