id,label,id_prop_instance_of
id_creator_10043,"Kühn, I.",id_base_author;id_base_editor
id_creator_1,"O'Brien, K.L.",id_base_author
id_creator_2,"Pinter, P.J.",id_base_author
id_creator_3,"Temperli, C.",id_base_author
id_creator_4,"Hansen, J.",id_base_author
id_creator_5,"Borkowski, J.",id_base_author
id_creator_6,"Hudson, N.I.",id_base_author
id_creator_7,"Teklesadik, A.D.",id_base_author
id_creator_8,"Walker, D.A.",id_base_author
id_creator_9,"Reenberg, A.",id_base_author
id_creator_10,"Hain, B.",id_base_author
id_creator_11,"Hahmann, H.",id_base_author
id_creator_12,"Kemp-Benedict, E.",id_base_author
id_creator_13,"Catindig, J.L.A.",id_base_author
id_creator_14,"Stripple, J.",id_base_author
id_creator_15,"Rupp, J.",id_base_author
id_creator_16,"Laitat, E.",id_base_author
id_creator_17,"Berger, S.",id_base_author
id_creator_18,"Walter, A.",id_base_author
id_creator_19,"Dedieu, G.",id_base_author
id_creator_20,"Iyengar, A.N.S.",id_base_author
id_creator_10068,"Böhning-Gaese, K.",id_base_author;id_base_editor
id_creator_22,"Kaufmann, R.",id_base_author
id_creator_23,"Elkin, C.",id_base_author
id_creator_24,"Zawadzka, J.",id_base_author
id_creator_25,"Pérez-Soba, M.",id_base_author
id_creator_26,"Mackenzie, F.T.",id_base_author
id_creator_10073,"Clark, W.C.",id_base_author;id_base_editor
id_creator_28,"Krylenko, I.",id_base_author
id_creator_29,"Di Rienzo, M.",id_base_author
id_creator_30,"Muscheler, R.",id_base_author
id_creator_31,"Kuhnert, M.",id_base_author
id_creator_32,"Wagner, J.",id_base_author
id_creator_33,"Höglind, M.",id_base_author
id_creator_34,"Kuehn, I.",id_base_author
id_creator_35,"Esken, A.",id_base_author
id_creator_36,"Moreno, Y.",id_base_author
id_creator_37,"Quiroga, S.",id_base_author
id_creator_38,"Adamowicz, W.L.",id_base_author
id_creator_39,"Pettifor, H.",id_base_author
id_creator_40,"Gregory, J.",id_base_author
id_creator_41,"Biewald, A.",id_base_author
id_creator_42,"Keribin, R.",id_base_author
id_creator_43,"Sailor, D.",id_base_author
id_creator_44,"Meinikmann, K.",id_base_author
id_creator_45,"Tibig, L.",id_base_author
id_creator_46,"Barring, L.",id_base_author
id_creator_47,"Haase, M.",id_base_author
id_creator_48,"Jerez, S.",id_base_author
id_creator_49,"Carter, T.R.",id_base_author
id_creator_50,"Nowaczyk, N.",id_base_author
id_creator_51,"Swai, E.",id_base_author
id_creator_52,"Feldman, R.L.",id_base_author
id_creator_53,"Gut, M.",id_base_author
id_creator_54,"Vadineanu, A.",id_base_author
id_creator_10086,"Vörösmarty, C.J.",id_base_author;id_base_editor
id_creator_56,"Purkey, D.",id_base_author
id_creator_57,"Chryssanthacopoulos, J.",id_base_author
id_creator_58,"Anav, A.",id_base_author
id_creator_59,"Szanser, M.",id_base_author
id_creator_60,"Russel, D.",id_base_author
id_creator_61,"Schlipf, S.",id_base_author
id_creator_62,"Mette, T.",id_base_author
id_creator_63,"test, t.",id_base_author
id_creator_64,"Verstraete, M.",id_base_author
id_creator_65,"Kristof, K.",id_base_author
id_creator_66,"Sauf, W.",id_base_author
id_creator_67,"Bräuer, I.",id_base_author
id_creator_68,"Wei, M.",id_base_author
id_creator_69,"Ramankutty, N.",id_base_author
id_creator_70,"Jallow, B.",id_base_author
id_creator_71,"Kotlarski, S.",id_base_author
id_creator_72,"Steckel, J.C.",id_base_author
id_creator_73,"Sissoko, K.",id_base_author
id_creator_74,"Smeets, E.M.W.",id_base_author
id_creator_75,"Rios, D.",id_base_author
id_creator_76,"Kunkel, K.",id_base_author
id_creator_77,"Van Niekerk, K.",id_base_author
id_creator_78,"Karnauskas, K.B.",id_base_author
id_creator_79,"Gekaluk, A.",id_base_author
id_creator_80,"Izaurralde, R.",id_base_author
id_creator_81,"Fenner, D.",id_base_author
id_creator_82,"White, P.S.",id_base_author
id_creator_83,"Chebbi, R.Z.",id_base_author
id_creator_84,"Balderjahn, I.",id_base_author
id_creator_85,"Rottgardt, E.",id_base_author
id_creator_86,"Marchetto, A.",id_base_author
id_creator_87,"Han, G.",id_base_author
id_creator_88,"Supersberger, N.",id_base_author
id_creator_89,"Bashta, A.T.",id_base_author
id_creator_90,"Humbert, A.",id_base_author
id_creator_91,"Susantono, B.",id_base_author
id_creator_92,"Zimm, C.",id_base_author
id_creator_93,"Kuramochia, T.",id_base_author
id_creator_94,"Kozlowski, S.",id_base_author
id_creator_95,"Longden, T.",id_base_author
id_creator_96,"Lazarova, T.",id_base_author
id_creator_97,"Jouvet, G.",id_base_author
id_creator_98,"Janous, D.",id_base_author
id_creator_99,"Wal, R.v.d.",id_base_author
id_creator_100,"Nasilowski, R.",id_base_author
id_creator_101,"Terhoven, P.",id_base_author
id_creator_102,"Petzoldt, T.",id_base_author
id_creator_103,"Schebek, L.",id_base_author
id_creator_104,"Huitema, D.",id_base_author
id_creator_105,"Kremer, P.",id_base_author
id_creator_106,"Newton, P.C.D.",id_base_author
id_creator_107,"Neves, L.J.P.F.",id_base_author
id_creator_108,"Waterton, C.",id_base_author
id_creator_109,"Loboda, T.V.",id_base_author
id_creator_110,"Sarntheim, M.",id_base_author
id_creator_111,"Pfeffer, W.T.",id_base_author
id_creator_112,"Kuramochi, T.",id_base_author
id_creator_113,"Stodian, I.",id_base_author
id_creator_114,"Banaszak, I.",id_base_author
id_creator_115,"Schmelcher, P.",id_base_author
id_creator_116,"Gladstone, R.M.",id_base_author
id_creator_117,"Tscharaktschiew, S.",id_base_author
id_creator_118,"Grossman, S.",id_base_author
id_creator_119,"Arenas, A.",id_base_author
id_creator_120,"Altenburg, C.",id_base_author
id_creator_121,"Buizer, J.",id_base_author
id_creator_122,"Thomas, A.",id_base_author
id_creator_123,"Adamsen, F.",id_base_author
id_creator_124,"Mu, Q.",id_base_author
id_creator_125,"Shi, Y.",id_base_author
id_creator_126,"Lang, F.",id_base_author
id_creator_127,"Frątczak, W.",id_base_author
id_creator_128,"Sakane, N.",id_base_author
id_creator_129,"Heussner, K.U.",id_base_author
id_creator_130,"Zechmeister, H.",id_base_author
id_creator_10122,"Mangalagiu, D.",id_base_author;id_base_editor
id_creator_132,"Steinbacher, K.",id_base_author
id_creator_133,"Rodriguez, D.A.",id_base_author
id_creator_134,"Salmi, O.",id_base_author
id_creator_135,"Longo, J.",id_base_author
id_creator_136,"Elena, A.",id_base_author
id_creator_137,"Grossman-Clarke, S.",id_base_author
id_creator_138,"Harper, R.",id_base_author
id_creator_139,"Gayler, S.",id_base_author
id_creator_140,"Poldas, B.",id_base_author
id_creator_141,"Tekken, V.",id_base_author
id_creator_142,"Bradke, H.",id_base_author
id_creator_143,"Esipova, E.",id_base_author
id_creator_144,"Lambert, C.",id_base_author
id_creator_145,"Erschbamer, B.",id_base_author
id_creator_146,"Huang, Y.",id_base_author
id_creator_147,"Murakami, D.",id_base_author
id_creator_148,"Fischbeck, P.",id_base_author
id_creator_149,"Pflugmacher, D.",id_base_author
id_creator_150,"Stemler, T.",id_base_author
id_creator_151,"Schandl, H.",id_base_author
id_creator_10136,"Stanca, A.M.",id_base_author;id_base_editor
id_creator_153,"Díaz-Guilera, A.",id_base_author
id_creator_154,"Netherer, S.",id_base_author
id_creator_155,"Garcia, S.P.",id_base_author
id_creator_156,"Seyler, A.",id_base_author
id_creator_157,"Jia, Y.B.",id_base_author
id_creator_158,"Shakun, J.D.",id_base_author
id_creator_159,"Matschoss, P.R.",id_base_author
id_creator_160,"McGuire, A.D.",id_base_author
id_creator_161,"Archibald, S.",id_base_author
id_creator_162,"Keramidas, K.",id_base_author
id_creator_163,"Kotthaus, S.",id_base_author
id_creator_164,"Harding, R.J.",id_base_author
id_creator_165,"Caesar, J.",id_base_author
id_creator_10147,"Minx, J.",id_base_author;id_base_editor
id_creator_167,"Warszawski, L.",id_base_author
id_creator_168,"Bröcker, U.",id_base_author
id_creator_169,"Kassahun, A.",id_base_author
id_creator_170,"Le, Q.B.",id_base_author
id_creator_171,"Peron, T.K.D.M.",id_base_author
id_creator_172,"Garcia-Ulloa, J.",id_base_author
id_creator_173,"Kremenetskii, K.",id_base_author
id_creator_174,"Sanderson, M.",id_base_author
id_creator_175,"Kardel, I.",id_base_author
id_creator_176,"Fastook, J.L.",id_base_author
id_creator_177,"Stepan, H.",id_base_author
id_creator_10158,"Rizzoli, A.",id_base_author;id_base_editor
id_creator_179,"Kumar, N.S.",id_base_author
id_creator_180,"Simon, A.A.",id_base_author
id_creator_181,"Skokibusic, N.",id_base_author
id_creator_182,"Kohlhaas, M.",id_base_author
id_creator_183,"Buizert, C.",id_base_author
id_creator_184,"Liddicoat, S.",id_base_author
id_creator_185,"Arets, E.J.M.M.",id_base_author
id_creator_186,"Guan, D.",id_base_author
id_creator_10168,"Welp, M.",id_base_author;id_base_editor
id_creator_188,"Brandt, C.",id_base_author
id_creator_189,"Martin, D.",id_base_author
id_creator_190,"Schubert, R.",id_base_author
id_creator_191,"Baldini, J.U.L.",id_base_author
id_creator_192,"Perthame, B.",id_base_author
id_creator_193,"Schwanitz, J.",id_base_author
id_creator_194,"Willner, S.",id_base_author
id_creator_195,"Peña, N.",id_base_author
id_creator_196,"Jans, Y.",id_base_author
id_creator_197,"Zeng, X.",id_base_author
id_creator_198,"Lumbroso, D.",id_base_author
id_creator_199,"Böttcher, K.",id_base_author
id_creator_200,"Mandel, A.",id_base_author
id_creator_201,"Ayres, R.U.",id_base_author
id_creator_202,"Zhou, S.",id_base_author
id_creator_203,"Tiedemann, R.",id_base_author
id_creator_204,"Majda, A.M.",id_base_author
id_creator_205,"Felsenberg, D.",id_base_author
id_creator_206,"Peng, S.",id_base_author
id_creator_207,"Erdmann, G.",id_base_author
id_creator_208,"Bölling, L.",id_base_author
id_creator_209,"Milligan, M.",id_base_author
id_creator_210,"Meyer, H.",id_base_author
id_creator_211,"Pelz, H.J.",id_base_author
id_creator_212,"Engström, K.",id_base_author
id_creator_213,"Docquier, D.",id_base_author
id_creator_214,"Mastrangelo, A.",id_base_author
id_creator_215,"Biber, M.F.",id_base_author
id_creator_216,"Torvanger, A.",id_base_author
id_creator_217,"Lee, V.",id_base_author
id_creator_218,"van het Bolscher, M.",id_base_author
id_creator_219,"Bodin, P.",id_base_author
id_creator_220,"Wagtendonk, A.",id_base_author
id_creator_221,"Kölling, K.",id_base_author
id_creator_222,"Pomaz, V.L.",id_base_author
id_creator_223,"Confalonieri, R.",id_base_author
id_creator_224,"Moro-Martin, A.",id_base_author
id_creator_225,"Carrara, S.",id_base_author
id_creator_226,"Beljaars, A.C.M.",id_base_author
id_creator_227,"Moll, P.",id_base_author
id_creator_228,"Timmermann, A.",id_base_author
