id,label,id_prop_instance_of,id_prop_author,id_prop_editor,id_prop_publisher,id_prop_place_of_publication,id_prop_part_of_the_series,id_prop_number_of_pages,id_prop_publication_date,id_prop_main_subject,id_prop_published_in,id_prop_issue,id_prop_volume
id_work_1,"Wer sind die Experten? User Needs Analysis (UNA), Post Occupancy Evaluation (POE) und Städtebau aus sozial- und umweltpsychologischer Perspektive.",id_base_chapter,id_creator_11469,id_creator_10934,id_publisher_0,id_place_0,id_series_0,75-85,1993,,,,
id_work_2,Impact of climate change on forests: application of forest succession models across Central and Eastern Europe,id_base_confpaper,id_creator_11426;id_creator_10140;id_creator_10198;id_creator_11860,id_creator_10765;id_creator_11706,id_publisher_1,id_place_1,,165-178,1999,,,,
id_work_3,Quantifizierung des Einflusses verschiedener (baulicher und Renaturierungs-) Maßnahmen auf den Verlauf von Hochwasserereignissen am Beispiel ausgewählter Flußgebiete,id_base_lecture,id_creator_10727,,,,,,1998,,,,
id_work_4,Ein Modell der Sukzessionsdynamik europäischer Wälder - Forest ecosystems in a changing environment (4C),id_base_confpaper,id_creator_1605;id_creator_10001;id_creator_11860,id_creator_10943;id_creator_10480;id_creator_11447,id_publisher_2,id_place_2,,212-217,1999,,,,
id_work_5,Comparison of data requirements and performance of two semi- distributed hydrological models of different complexity,id_base_confpaper,id_creator_10439;id_creator_10727;id_creator_10693,,id_publisher_3,id_place_3,,161-164,1999,,,,
id_work_6,Delta 13C of CO2 respired in the dark in relation to delta 13C of leaf carbohydrates in Phaseolus vulgaris L. under progressive drought,id_base_article,id_creator_4030;id_creator_569;id_creator_10001;id_creator_3050,,,,,515-523,1999,id_keyword_200;id_keyword_224;id_keyword_151;id_keyword_10;id_keyword_17;id_keyword_318,id_journal_0,5,22
id_work_7,Land use change in Europe and implications for agriculture and water resources,id_base_chapter,id_creator_10439;id_creator_11142;id_creator_9148;id_creator_8552,id_creator_10792;id_creator_11882,id_publisher_4,id_place_4,id_series_1,361-384,1999,,,,
id_work_8,Großräumige hydrologische Parametrisierung und Modellierung als Teil der integrierten Modellierung,id_base_confpaper,id_creator_10727;id_creator_3484;id_creator_117;id_creator_10543;id_creator_3850,id_creator_11497;id_creator_11591,id_publisher_5,id_place_5,,31-40,1999,,,,
id_work_9,The use of semi-qualitative reasoning and probability distributions in assessing possible behaviours of a socio- economic system,id_base_confpaper,id_creator_8215;id_creator_3260;id_creator_11034,,id_publisher_6,id_place_6,,410-416,1999,id_keyword_327;id_keyword_367;id_keyword_73;id_keyword_366,,,
id_work_10,Effects of climate change influencing storm runoff generation: basic considerations and a pilot study in Germany,id_base_confpaper,id_creator_10727;id_creator_2522;id_creator_166;id_creator_4786,id_creator_11054;id_creator_11082;id_creator_10727,id_publisher_7,id_place_7,,,1999,,,,
id_work_11,The Odra/Oder flood in summer 1997,id_base_article,id_creator_10727;id_creator_11479;id_creator_10013;id_creator_10093,,,id_place_8,,1-163,1997,,id_journal_1,,
id_work_12,International relations and global climate change,id_base_intseries,id_creator_11013,,id_publisher_8,id_place_8,id_series_2,,1996,,,,
id_work_13,Regional simulation of winter wheat yields for the state of Brandenburg under present and future climate,id_base_confpaper,id_creator_3960;id_creator_4185;id_creator_11142;id_creator_8962,,,id_place_9,,,1998,,,,
id_work_14,Socio-economic implications of land use change modelling on a regional scale,id_base_confpaper,id_creator_11837;id_creator_10362,id_creator_11295;id_creator_11480,id_publisher_9,id_place_10,,73-82,1999,id_keyword_319;id_keyword_150;id_keyword_49,,,
id_work_15,Möglicher Klimawandel und seine Auswirkungen auf den Wasserhaushalt - insbesondere auf die Grundwasserneubildung,id_base_confpaper,id_creator_11837,,,,,1-26,1997,,,,
id_work_16,Macro- and mesoscale hydrological modelling in the Elbe river basin,id_base_confpaper,id_creator_11837;id_creator_10362,id_creator_11565;id_creator_10736;id_creator_10231,id_publisher_10,id_place_11,,57-61,1998,id_keyword_319,,,
id_work_17,Meteorological input variables in meso and macroscale hydrological modelling,id_base_confpaper,id_creator_11837;id_creator_11216;id_creator_5032,,id_publisher_11,id_place_3,,165-168,1999,,,,
id_work_18,"Extremer Nordsommer '92. Meteorologische Ausprägung, Wirkungen auf naturnahe und vom Menschen beeinflußte Ökosysteme, gesellschaftliche Perzeption und situationsbezogene politisch- administrative bzw. individuelle Maßnahmen",id_base_article,id_creator_11104;id_creator_11609;id_creator_11778,id_creator_11104;id_creator_11609;id_creator_11778,,id_place_8,,,1994,,id_journal_1,1-4,
id_work_19,Factors affecting nitrogen export from diffuse sources: a modelling study in the Elbe basin,id_base_chapter,id_creator_10439;id_creator_10436;id_creator_11216;id_creator_10362,id_creator_10063,id_publisher_12,id_place_12,id_series_3,201-212,1999,,,,
id_work_20,Comparing global models of terrestrial net primary productivity (NPP): Overview and key results,id_base_article,id_creator_10198;id_creator_2470;id_creator_1359;id_creator_8155;id_creator_6529;id_creator_7276;id_creator_5249,,,,,1-15,1999,,id_journal_2,April,5 (Supplement 1)
id_work_21,"Technical Summary: Impacts, Adaptations and Mitigation Options",id_base_chapter,id_creator_10198,id_creator_10092;id_creator_11859;id_creator_11622,id_publisher_13,id_place_13,id_series_4,19-53,1996,,,,
id_work_22,Achievements and future needs towards an improved flood protection in the Oder river basin: results of the EU-expert meeting on the Oder flood in summer 1997,id_base_confpaper,id_creator_10727;id_creator_11575;id_creator_10693,id_creator_11821,id_publisher_14,id_place_14,,,1999,,,,
id_work_23,Topography-based Hydrological Modelling in the Elbe Drainage Basin,id_base_epub,id_creator_8833;id_creator_11837;id_creator_10439;id_creator_10362,,,,,,1996,,,,
id_work_24,Umwelt und Sicherheit: Die Rolle von Umweltschwellenwerten in der empirisch-quantitativen Modellierung,id_base_intseries,id_creator_11805,,id_publisher_8,id_place_8,id_series_5,,1998,id_keyword_420;id_keyword_132;id_keyword_306;id_keyword_284,,,
id_work_25,Sind Freihandel und Umweltschutz vereinbar?,id_base_lecture,id_creator_11666,,,,,,1998,,,,
id_work_26,The effects of free-air CO2 enrichment and soil water availability on spatial and seasonal patterns of wheat root growth,id_base_article,id_creator_2459;id_creator_11142;id_creator_8669;id_creator_5096;id_creator_7772;id_creator_479;id_creator_512;id_creator_8962,,,,,519-529,1999,,id_journal_2,5,5
id_work_27,Klimaänderungen: Ursachen und Wirkungen,id_base_book,id_creator_10300;id_creator_10831,,id_publisher_15,id_place_8,,1-65,1993,,,,
id_work_28,Das CERA-2: Ein raumbezogenes Daten- und Metadatenmodell,id_base_chapter,id_creator_2966;id_creator_4166;id_creator_932,id_creator_10217;id_creator_10508,id_publisher_16,id_place_15,id_series_6,107-121,1999,id_keyword_215;id_keyword_188,,,
id_work_29,Wissenschaftliche Aussagen zum Klimawandel - Zum politischen Umgang mit objektiv unsicheren Ergebnissen der Klimaforschung,id_base_chapter,id_creator_11666;id_creator_11104,id_creator_10705;id_creator_11749;id_creator_10845;id_creator_11075,id_publisher_17,id_place_16,id_series_7,364-367,1998,,,,
id_work_30,Europe,id_base_chapter,id_creator_11446;id_creator_10327;id_creator_625;id_creator_9201;id_creator_11244;id_creator_3042;id_creator_8740;id_creator_1095;id_creator_5288;id_creator_10034,id_creator_10309;id_creator_10656;id_creator_11042,id_publisher_13,id_place_13,id_series_8,149-185,1998,,,,
id_work_31,"Topic 1. Research on the linkages between climate change and forest ecosystems, including feedbacks from the ecosystem to the climate system",id_base_inreport,id_creator_10198;id_creator_11426;id_creator_1489,id_creator_11350,id_publisher_18,id_place_17,id_series_9,3-8,1998,,,,
id_work_32,Natürliche Senken und Quellen des atmosphärischen Kohlendioxides: Stand des Wissens und Optionen des Handelns,id_base_article,id_creator_10742;id_creator_4980;id_creator_7728;id_creator_4945;id_creator_1539;id_creator_11324;id_creator_1750;id_creator_1359;id_creator_10198;id_creator_11426;id_creator_8319,,,id_place_16,,4-5,1999,,id_journal_3,287,
id_work_33,Sustainability and new economic policy options (panel discussion),id_base_lecture,id_creator_11666,,,,,,1998,,,,
id_work_34,The Tolerable Windows Approach to Integrated Assessment,id_base_confpaper,id_creator_10034;id_creator_3260;id_creator_2414;id_creator_1637;id_creator_11104,id_creator_11780;id_creator_10105;id_creator_11629,id_publisher_19,,,403-430,1997,id_keyword_146;id_keyword_123;id_keyword_2;id_keyword_396;id_keyword_111;id_keyword_366,,,
id_work_35,Direct graphite furnace atomic absorption spectrometric determination of metals in seawater - application of new palladium modifiers and a fractal approach to the analytic support of palladium modifiers,id_base_article,id_creator_867;id_creator_9160;id_creator_10620;id_creator_11104;id_creator_3739,,,,,241-251,1993,,id_journal_4,2,279
id_work_36,Möglicher Klimawandel und seine Auswirkungen auf den Wasserhaushalt - insbesondere auf die Grundwasserneubildung,id_base_lecture,id_creator_11837,,,,,,1997,,,,
id_work_37,Comparing global models of terrestrial net primary productivity (NPP): global pattern and differentiation by major biomes,id_base_article,id_creator_2470;id_creator_1359;id_creator_5249;id_creator_558,,,,,16-24,1999,,id_journal_2,April,5 (Supplement 1)
id_work_38,Climate Change Impacts on Forests,id_base_chapter,id_creator_2894;id_creator_1809;id_creator_6213;id_creator_1187;id_creator_10198,id_creator_10092;id_creator_11859;id_creator_11622,id_publisher_13,id_place_13,id_series_4,95-129,1996,,,,
id_work_39,Comparing global models of terrestrial net primary productivity (NPP): analysis of differences in light absorption and light-use efficiency,id_base_article,id_creator_7276;id_creator_8042;id_creator_1359,,,,,56-64,1999,,id_journal_2,April,5 (Supplement 1)
id_work_40,Raum-zeitliche Dynamik von Ökosystemverbänden unter sich verändernden Immissionsbedingungen am Beispiel der Dübener Heide,id_base_chapter,id_creator_11778;id_creator_9626,id_creator_10079,id_publisher_20,id_place_18,id_series_10,1-34,1996,,,,
id_work_41,Problems and Progress in Macroscale Hydrological Modelling,id_base_chapter,id_creator_10362,id_creator_10655,id_publisher_13,id_place_13,id_series_11,135-144,1995,,,,
id_work_42,The tolerable windows approach to global warming,id_base_epub,id_creator_3260;id_creator_11034;id_creator_10987,id_creator_11051,id_publisher_21,id_place_19,,,1998,id_keyword_211;id_keyword_314;id_keyword_366;id_keyword_277;id_keyword_396,,,
id_work_43,How is ecosystem function affected by the hydrological lateral flows in complex landscapes?,id_base_chapter,id_creator_10693;id_creator_2421;id_creator_577;id_creator_358;id_creator_250;id_creator_8089;id_creator_4039,id_creator_11817;id_creator_10632,id_publisher_22,id_place_20,id_series_12,255-271,1999,,,,
id_work_44,Assimilation of satellite measurements in short wavelengths into production model. Test of several radiative transfer models,id_base_confpaper,id_creator_4853;id_creator_10728;id_creator_5995,id_creator_11315,,,,1127-1134,1994,,,,
id_work_45,Ermittlung von Hochwasserwahrscheinlickeiten für die Nuthe zwischen Jüterborg und Woltersdorf,id_base_report,id_creator_5032;id_creator_11216;id_creator_5218,,id_publisher_23,id_place_21,,1-93,1998,,,,
id_work_46,Disaggregierung und Skalierung bei Parameterermittlungen für die hydrologische Modellierung und Regionalisierung,id_base_chapter,id_creator_10362;id_creator_11837,id_creator_10660,id_publisher_24,id_place_22,,155-165,1997,,,,
id_work_47,Integrated Modelling of Nonpoint Source Pollution for Meso- Scale Watersheds using GIS,id_base_confpaper,id_creator_10439;id_creator_8833;id_creator_11837,,,,,351-356,1995,,,,
id_work_48,Global operational remote sensing and modelling of ocean waves,id_base_confpaper,id_creator_6247;id_creator_6788;id_creator_4024;id_creator_11394,,id_publisher_25,id_place_23,,310-323,1998,,,,
id_work_49,On the benefit of assimilation of wave spectra retrieved  from ERS-1 SAR wave mode data,id_base_confpaper,id_creator_6788;id_creator_6247,,id_publisher_26,id_place_23,,241-250,1998,,,,
id_work_50,Comparison of assimilation results from an optimal interpolation and the Green's function method using ERS-1 SAR wave mode spectra,id_base_confpaper,id_creator_6788;id_creator_4024;id_creator_8468;id_creator_11394,,,,,1131-1136,1997,,,,
id_work_51,Land use scenarios for flood risk assessment studies,id_base_confpaper,id_creator_2114;id_creator_2561;id_creator_10693,id_creator_10658;id_creator_11452;id_creator_10863,id_publisher_27,id_place_24,,1-71,1999,,,,
id_work_52,Sustainability and new economic policy options: the example of international emissions trading,id_base_chapter,id_creator_11666,,,,id_series_13,,1999,id_keyword_372;id_keyword_277,,,
id_work_53,Simulation of tree and stand development under different environmental conditions with a physiologically based model,id_base_article,id_creator_6568;id_creator_9626,,,,,59-76,1999,id_keyword_407;id_keyword_51;id_keyword_99;id_keyword_442;id_keyword_324,id_journal_5,1-3,120
id_work_54,A landscape model for the investigation of atmogenic pollution effects on the dynamics of scots pine ecosystems,id_base_chapter,id_creator_9626;id_creator_11778,id_creator_11429;id_creator_10253,id_publisher_14,id_place_25,id_series_14,283-311,1998,id_keyword_3;id_keyword_122;id_keyword_242;id_keyword_62;id_keyword_127,,,
id_work_55,Dynamics of Radiocarbon in Soils,id_base_article,id_creator_9265;id_creator_4052,,,,,363-367,1993,,id_journal_6,,35
id_work_56,Zur Klimaschutzstrategie des langen Bremsweges,id_base_article,id_creator_11104;id_creator_3260,,,id_place_26,,34-39,1998,id_keyword_246;id_keyword_301,id_journal_7,,10/98
id_work_57,Intergenerational equity and discounting,id_base_article,id_creator_10987,,,,,127-136,2000,,id_journal_8,,1
id_work_58,Zur gerechten Verteilung der Lasten des Klimaschutzes: eine ökonomische Analyse,id_base_chapter,id_creator_11666,id_creator_11845;id_creator_10575;id_creator_10434,id_publisher_28,id_place_27,id_series_15,69-86,1999,id_keyword_304;id_keyword_277;id_keyword_41,,,
id_work_59,MATSALU - The System of Simulation Models for Agricultural Watershed and Shallow Sea Bay,id_base_chapter,id_creator_10439;id_creator_9148;id_creator_4490;id_creator_9019,id_creator_11748;id_creator_11291;id_creator_11220,id_publisher_29,id_place_28,id_series_16,112-113,1996,,,,
id_work_60,Modelling runoff dynamics of the Elbe drainage basin: an application of the HBV model,id_base_chapter,id_creator_10439;id_creator_8833;id_creator_6453,id_creator_10629;id_creator_11792,id_publisher_30,id_place_29,id_series_17,147-152,1998,id_keyword_175;id_keyword_57,,,
id_work_61,Applicability of Medium Scale Watershed Modelling for the Study of the Baltic Sea Catchment Area,id_base_confpaper,id_creator_10439,,,,,355-362,1994,,,,
